,productid,product_name,brand_name,event_date_of_launch,country_of_launch,market_category,market_subcategory,Company,uhc,nutrition,standard_serving_size,energy_kcal,protein,fat, Fiber_DietaryFiber,Protein,Fat,Fiber,Moisture,Calories
0,5998993,O Paws Beef Tripe Rounds For Pets,O Paws,2019-01-08,United States,Pet Food,Dog Snacks/Treats,Omas Pride,Omas Pride,"crudeprotein: 38%, crudefat: 45%, crudefiber: 3%, moisture: 5%",,,,,,38,45,3,5,
1,7040086,Purina Bella Morsels In Sauce Roasted Turkey Flavor With Pumpkin And Spinach Natural Dog Food,Bella,2020-01-12,United States,Pet Food,Dog Food - Wet,Nestle Purina,Nestle,"total calories: 981kcal, crude protein: 11%, crude fat: 2%, crude fiber: 1%, moisture: 78%",,981.0,,,,11,2,1,78,981
2,5262917,Merrick Purrfect Bistro Complete Care Grain Free Sensitive Stomach Recipe Dry Cat Food: Real Chicken And Sweet Potato Recipe,Merrick,2018-01-08,United States,Pet Food,Cat Food - Dry,Merrick Pet Care,Nestle,"vitaminemg: 60iu, bacilluscoagulans(g/mg): 90million cfu, selenium(g/mg): 0.3mg, phosphorus: 0.8%, omega-6fattyacids: 3%, omega-3fattyacids: 0.6%, crudeprotein: 34%, crudefat: 16%, crudefiber: 2.5%, moisture: 11%, calcium: 1%, taurine: 0.2%",,,,,,34,16,2.5,11,
3,7439434,Pure Balance Pro Plus Veterinarian Formulate Weight Management Dog Food: Chicken And Oatmeal Recipe,Pure Balance,2021-01-06,United States,Pet Food,Dog Food - Dry,Walmart,Walmart,"serving size: 1.00kg, vitamin a: 5000.00iu, calcium: 1.00%, phosphorus: 0.80%, crude protein: 24.50%, crude fat: 7.00%, crude fiber: 10.00%, moisture: 10.00%, zinc: 100.00mg, selenium: 0.35mg, vitamin e: 50.00iu, omega - 6 fatty acids: 1.50%, omega - 3 fatty acids: 0.20%, taurine: 0.10%, glucosamine: 300.00mg, l - carnitine: 100.00mg",1000.0,,,,,24.50,7.00,10.00,10.00,
4,7634520,Whole Earth Farms Healthy Grains Chicken And Rice Recipe Dry Pet Food For Large Breed Dogs,Whole Earth Farms,2021-01-12,United States,Pet Food,Dog Food - Dry,Merrick Pet Care,Nestle,"per serving size: 1kg, total calories: 3549kcal, crude fat: 14%, crude protein: 24%, crude fiber: 4.5%, moisture: 11%, vitamin  e(g/mg): 70iu, taurine: 0.12%, omega-3fattyacid: 0.2%, omega-6 fatty acid: 2%, l- carnitine(g/mg): 100mg, glucosamine(g/mg): 700mg, chondroitin sulfate(g/mg): 300mg",100.0,354.9,,,,24,0.2,4.5,11,3549
5,7040016,Purina Bella Morsels In Sauce Rotisserie Chicken Flavor With Carrots And Tomatoes Natural Dog Food,Bella,2020-01-12,United States,Pet Food,Dog Food - Wet,Nestle Purina,Nestle,"total calories: 975kcal, crude protein: 11%, crude fat: 2%, crude fiber: 1%, moisture: 78%",,975.0,,,,11,2,1,78,975
6,5885354,Get Naked Premium Fitness Care Dog Treats With Chicken And Pumpkin Flavor,Get Naked Premium,2019-01-05,United States,Pet Food,Dog Snacks/Treats,Natural Polymer International Corporation,Natural Polymer International Corporation,"bascilluscoagulans(g/mg): 150million cfu, calcium: 0.3%, crudeprotein: 6.5%, dha: 0.35%, moisture: 15%, crudefiber: 9%, crudefat: 2.5%, total calories: 2750kcal, zinc(g/mg): 20mg, manganese(g/mg): 60mg, l-carnitine(g/mg): 450mg",,2750.0,,,,6.5,2.5,9,15,2750
7,6218013,Because Animals Noochies Organic Cookies Dog Treats,Because Animals,2019-01-12,United States,Pet Food,Dog Snacks/Treats,Because Animals,Because Animals,"total calories: 3404kcal, thiaminevitaminb1(g/mg): 3.4mg, riboflavinvitaminb2(g/mg): 6.7mg, folic acidvitaminb9(g/mg): 0.6mg, crudefat: 4%, crudeprotein: 10%, moisture: 9%, crudefiber: 2%",,3404.0,,,,10,4,2,9,3404
8,7040140,Purina Bella Morsels In Sauce Filet Mignon Flavor With Carrots And Spinach Natural Dog Food,Bella,2020-01-12,United States,Pet Food,Dog Food - Wet,Nestle Purina,Nestle,"total calories: 990kcal, moisture: 78%, crude protein: 11%, crude fat: 2%, crude fiber: 1%",,990.0,,,,11,2,1,78,990
9,6379123,Campfire Turkey Gizzards Natural Dog Treats,Campfire,2020-01-01,United States,Pet Food,Dog Snacks/Treats,Campfire Treats,Campfire Treats,"serving size: 1kg, energy(kj): 14518kj, energy(kcal): 3470kcal, crudefiber: 0.50%, crudeprotein: 77.00%, moisture: 11.00%, crudefat: 9.00%",1000.0,347000.0,,,,77.00,9.00,0.50,11.00,
10,7040110,Purina Bella Morsels In Sauce Prime Rib Flavor With Carrots And Potatoes Natural Dog Food,Bella,2020-01-12,United States,Pet Food,Dog Food - Wet,Nestle Purina,Nestle,"total calories: 986kcal, crude protein: 11%, crude fat: 2%, crude fiber: 1%, moisture: 78%",,986.0,,,,11,2,1,78,986
11,5538336,Halo Grain Free Holistic Wild Salmon And Whitefish Recipe Dry Pet Food For Small Breed Dogs,Halo,2019-01-01,United States,Pet Food,Dog Food - Dry,Halo,Halo,,,,,,,,,,,
12,5539187,"Purina Bella Grain Free Pate With Beef, Peas And Carrots In Savory Juices Natural Dog Food",Bella,2019-01-01,United States,Pet Food,Dog Food - Wet,Nestle Purina,Nestle,"total calories: 904kcal, moisture: 82%, crudeprotein: 8%, crudefat: 3.5%, crudefiber: 1%",,904.0,,,,8,3.5,1,82,904
13,7683077,Optimeal Weight Management Turkey And Oatmeal Recipe Super Premium Food For Adult Cats,Optimeal,2022-01-02,United States,Pet Food,Cat Food - Dry,Kormotech,Kormotech,"serving size: 1.00kg, total calories: 3358.00kcal, vitamin a: 14890.00iu, vitamin c (ascorbic acid): 160.00mg, crude protein : 31.00%, crude fat: 10.00%, crude fiber: 8.75%, moisture : 8.00%, zinc : 126.00mg, copper : 10.90mg, selenium: 0.34mg, vitamin e: 355.00iu, taurine : 0.19%, l carnitine : 160.00mg, omega 3 fatty acids: 0.45%, omega 6 fatty acids: 1.95%",1000.0,335800.0,,,,31.00,10.00,8.75,8.00,3358.00
14,5539198,"Purina Bella Grain Free Pate With Lamb, Peas And Sweet Potatoes Natural Dog Food",Bella,2019-01-01,United States,Pet Food,Dog Food - Wet,Nestle Purina,Nestle,"crudeprotein: 7%, crudefat: 3.5%, crudefiber: 1%, moisture: 82%, total calories: 971kcal",,971.0,,,,7,3.5,1,82,971
15,7292742,Jinx Chicken And Sweet Potato Jerky Recipe Dog Treats,Jinx,2021-01-05,United States,Pet Food,Dog Snacks/Treats,Jinx,Jinx,"per serving size: 1kg, crude fat: 3%, crude fiber: 5%, crude protein: 30%, moisture: 28%, total calories: 2806kcal",100.0,280.6,,,,30,3,5,28,2806
16,5552135,Wellness Complete Health Deboned Chicken And Chicken Meal Recipe Grain Free Food For Senior Cats,Wellness,2019-01-01,United States,Pet Food,Cat Food - Dry,Wellpet,Wellpet,"chondroitinsulfate(g/mg): 300mg, vitaminamg: 25000iu, vitaminemg: 200iu, glucosamine(g/mg): 400mg, l-carnitine(g/mg): 150mg, totallactic acidmicroorganisms(g/mg): 80million cfu, omega-6fattyacids: 2.5%, omega-3fattyacids: 1%, crudeprotein: 39%, crudefat: 11%, crudefiber: 5%, moisture: 10%, calcium: 1.5%, phosphorus: 1%, taurine: 0.2%",,,,,,39,11,5,10,
17,7465654,Merrick Grain Free Senior Real Chicken Plus Sweet Potato Recipe Dry Dog Food,Merrick,2021-01-08,United States,Pet Food,Dog Food - Dry,Merrick Pet Care,Nestle,"per serving size: 1kg, total calories: 3492kcal, glucosamine(g/mg): 1200mg, lcarnitine(g/mg): 200mg, chondroitinsulfatemin(g/mg): 1200mg, crudeprotein(min): 30%, moisture(max): 11%, taurine(min): 0.17%, crudefat(min): 12%, crudefiber(max): 3.5%, omega6fattyacid(min.): 3%, omega3fattyacid(min): 0.3%",100.0,349200.0,,,,30,12,3.5,11,3492
18,7131140,Because Animals Noochies Organic Dog Cookies Dog Treats,Because Animals,2021-01-01,United States,Pet Food,Dog Snacks/Treats,Because Animals,Because Animals,"crude protein minimum: 10%, crude fat minimum: 4%, crude fiber maximum: 2%, moisturemaximum: 9%, thaiamine vitamin b1: 3.4mg, riboflavin viamin b2: 6.7mg, vitaminb9(folicacid)mg: 0.6mg",,,,,,10,4,2,9,
19,7388124,"True Meals Multi Protein Recipe Made With Chicken, Fish, Beef And Vegetables Adult Dog Food",True Meals,2021-01-06,United States,Pet Food,Dog Food - Dry,Tyson Pet Products,Tyson Foods,"per serving size: 1kg, total calories: 3550kcal, l-carnitine(g/mg): 150mg, vitamincmg: 100mg, vitaminemg: 300iu, crudefat: 13%, crudefiber: 4%, crudeprotein: 23%, moisture: 12%, omega6fattyacids: 2.1%, taurine: 0.15%, omega3fattyacids: 0.75%",100.0,355000.0,,,,23,0.75,4,12,3550
20,7673444,Optimeal Nutrient Balance Chicken And Rice Recipe Dry Pet Food For Large Breed Adult Dogs,Optimeal,2022-01-02,United States,Pet Food,Dog Food - Dry,Kormotech,Kormotech,"per serving size: 1kg, energy kj: 14526.85kj, energy kcal: 3472kcal, calcium: 0.9%, chondroitin sulfate(g/mg): 500mg, copper(g/mg): 8.4mg, crude fat: 12%, crude fiber: 5.5%, crude protein: 22%, glucosamine hydrochloride(g/mg): 700mg, l- carnitine(g/mg): 120mg, moisture: 10%, omega 6 fatty acids: 2.4%, phosphorus: 0.7%, selenium(g/mg): 0.41mg, taurine: 0.9%, vitamin   a(g/mg): 11990iu, vitamin  e(g/mg): 355iu, zinc(g/mg): 182mg, vitamin c (ascorbic acid)(g/mg): 192mg, omega 3  fatty acids: 0.68%",100.0,347.2,,,,22,12,5.5,10,
21,7447266,Purina One Plus Ideal Weight High Protein Real Turkey Dry Cat Food,Purina One,2021-01-09,United States,Pet Food,Cat Food - Dry,Nestle Purina,Nestle,"per serving size: 1kg, total calories: 3704kcal, vitaminamg: 10000iu, l-carnitine(g/mg): 200mg, vitaminemg: 100iu, seleniumse(g/mg): 0.35mg, zinczn(g/mg): 150mg, crudefat: 9%, crudefiber: 5%, crudeprotein: 42%, linoleic acid: 1.5%, moisture: 12%, phosphorus(p): 0.9%, taurine: 0.15%, calcium(ca): 1%, carbohydrateplus: 29%, omega-6fattyacids: 1.7%",100.0,370400.0,,,,42,1.7,5,12,3704
